"slug","name_ar","name_en","category_slug","capability_key","engine_group","risk_level","description","instructions"
"skill-cybersecurity-tools-calculation","الحساب والتحقق — أدوات الأمن السيبراني Cybersecurity Tools","calculation — cybersecurity-tools","cybersecurity-tools","calculation","formula","low","قدرة مشتركة لأدوات cybersecurity-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-photography-tools-calculation","الحساب والتحقق — أدوات التصوير Photography Tools","calculation — photography-tools","photography-tools","calculation","formula","low","قدرة مشتركة لأدوات photography-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-fitness-tools-estimation","التقدير — أدوات اللياقة Fitness Tools","estimation — fitness-tools","fitness-tools","estimation","formula","low","قدرة مشتركة لأدوات fitness-tools التي تنفذ estimation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-startup-tools-calculation","الحساب والتحقق — أدوات الشركات الناشئة Startup Tools","calculation — startup-tools","startup-tools","calculation","formula","low","قدرة مشتركة لأدوات startup-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-telecom-tools-calculation","الحساب والتحقق — أدوات الاتصالات Telecom Tools","calculation — telecom-tools","telecom-tools","calculation","formula","low","قدرة مشتركة لأدوات telecom-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-saas-tools-calculation","الحساب والتحقق — أدوات SaaS SaaS Tools","calculation — saas-tools","saas-tools","calculation","formula","low","قدرة مشتركة لأدوات saas-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-rental-business-tools-calculation","الحساب والتحقق — أدوات أعمال التأجير Rental Business Tools","calculation — rental-business-tools","rental-business-tools","calculation","formula","low","قدرة مشتركة لأدوات rental-business-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-procurement-tools-calculation","الحساب والتحقق — أدوات المشتريات Procurement Tools","calculation — procurement-tools","procurement-tools","calculation","formula","low","قدرة مشتركة لأدوات procurement-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-quality-tools-calculation","الحساب والتحقق — أدوات إدارة الجودة Quality Management Tools","calculation — quality-tools","quality-tools","calculation","formula","low","قدرة مشتركة لأدوات quality-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-maintenance-tools-calculation","الحساب والتحقق — أدوات الصيانة Maintenance Tools","calculation — maintenance-tools","maintenance-tools","calculation","formula","low","قدرة مشتركة لأدوات maintenance-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-franchise-tools-calculation","الحساب والتحقق — أدوات الامتياز التجاري Franchise Tools","calculation — franchise-tools","franchise-tools","calculation","formula","low","قدرة مشتركة لأدوات franchise-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-bakery-tools-calculation","الحساب والتحقق — أدوات المخابز Bakery Tools","calculation — bakery-tools","bakery-tools","calculation","formula","low","قدرة مشتركة لأدوات bakery-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-salon-tools-calculation","الحساب والتحقق — أدوات الصالونات Salon Tools","calculation — salon-tools","salon-tools","calculation","formula","low","قدرة مشتركة لأدوات salon-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
